mo,le,ite,type_est,modulo,course_branch_lesson_name,item,course_item_type_desc,part_modulo,part_leccion,part_item,prom_intentos,prom_act_aprendizaje,completitud_modulo,completitud_lec
Mod 0,Mod 0-Les 0,Mod 0-Les 0-Ite 0,A,Bienvenida,Bienvenida al curso,Bienvenida,lecture,39,39,39,,,0.79,0.79
Mod 0,Mod 0-Les 0,Mod 0-Les 0-Ite 1,A,Bienvenida,Bienvenida al curso,Presentación del curso,others,39,39,1,,,0.79,0.79
Mod 0,Mod 0-Les 0,Mod 0-Les 0-Ite 2,A,Bienvenida,Bienvenida al curso,Introducción al curso,lecture,39,39,37,,,0.79,0.79
Mod 0,Mod 0-Les 0,Mod 0-Les 0-Ite 3,A,Bienvenida,Bienvenida al curso,Recomendaciones para el éxito,others,39,39,1,,,0.79,0.79
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 0,A,Números naturales y sistemas de numeración,Origen de los números naturales,Origen de los números naturales,lecture,36,36,36,,,0.62,0.87
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 1,A,Números naturales y sistemas de numeración,Origen de los números naturales,Mapa conceptual del origen de los números naturales,supplement,36,36,,,,0.62,0.87
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 2,A,Números naturales y sistemas de numeración,Origen de los números naturales,¿Qué sabes del número natural?,quiz,36,36,35,,,0.62,0.87
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 3,A,Números naturales y sistemas de numeración,Origen de los números naturales,Historia de los números naturales,lecture,36,36,33,,,0.62,0.87
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 4,A,Números naturales y sistemas de numeración,Origen de los números naturales,Mapa conceptual de la historia de los números naturales,supplement,36,36,,,,0.62,0.87
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 5,A,Números naturales y sistemas de numeración,Origen de los números naturales,Relación de correspondencia,quiz,36,36,32,,,0.62,0.87
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 6,A,Números naturales y sistemas de numeración,Origen de los números naturales,Los enchufes (actividad de aprendizaje),ungraded lti,36,36,3,,1.13,0.62,0.87
Mod 1,Mod 1-Les 1,Mod 1-Les 1-Ite 0,A,Números naturales y sistemas de numeración,Usos de los números naturales,¿En qué se  diferencian cuantificar y contar?,lecture,36,33,33,,,0.62,0.77
Mod 1,Mod 1-Les 1,Mod 1-Les 1-Ite 1,A,Números naturales y sistemas de numeración,Usos de los números naturales,Mapa conceptual de los usos de los números naturales,supplement,36,33,,,,0.62,0.77
Mod 1,Mod 1-Les 1,Mod 1-Les 1-Ite 2,A,Números naturales y sistemas de numeración,Usos de los números naturales,Compra - venta (actividad de aprendizaje),ungraded lti,36,33,8,,1.3,0.62,0.77
Mod 1,Mod 1-Les 1,Mod 1-Les 1-Ite 3,A,Números naturales y sistemas de numeración,Usos de los números naturales,Número de identificación (actividad de aprendizaje),ungraded lti,36,33,3,,1.08,0.62,0.77
